name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
darrell floyd,same,high,15,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,weak,weak,"The reasoning cites a 'Clarity Interview with Dr. Darrell Floyd (2025)' but the case only covers positions through 2024. A 2025 source cannot exist for a 2024 case, indicating either a hallucination, typo, or fundamental error in evidence verification. This undermines confidence in the overall evidence quality despite the two strong district announcements.",True
daryl herrick,same,high,13,QUESTIONABLE,pass,pass,weak,pass,pass,pass,pass,fail,fail,fail,"The reasoning contains a critical factual error: it claims the Patch article confirms Herrick was hired as interim superintendent in 2014, but the article explicitly states he was named for the '2015-16 school year.' The Chicago Tribune article also references 2016. The reasoning incorrectly asserts verification of the 2014 timeframe when the evidence actually supports 2015-16. This means the prediction may be wrong - if Position 2 is specifically 2014 and Herrick was only there 2015-16, these could be different records or the position date is incorrect.",True
daryl pruter,same,high,8,SUSPECT,pass,pass,fail,fail,fail,pass,pass,fail,fail,fail,"No Tier 1 evidence (hiring announcement, transition news, or career history) exists to corroborate that the same person held both superintendent positions. The reasoning claims Tier 1 sources but only provides Tier 2-3 evidence that doesn't link the two districts. High confidence 'same' prediction without any source showing career progression or transition between districts is unjustified.",True
dave wilcox,same,high,6,SUSPECT,pass,weak,pass,fail,fail,fail,weak,fail,fail,fail,The reasoning cites a 2026 news article as evidence for a 2020-2024 position. This is a fundamental flaw - evidence from the future cannot be used to support a conclusion. This single issue invalidates the high confidence prediction and calls into question the entire evidence set.,True
david benson,same,high,8,SUSPECT,pass,pass,weak,fail,fail,pass,weak,fail,fail,fail,The disambiguator treated a Wikipedia entry about 'David Benson (politician)' as evidence about the superintendent David Benson. These are almost certainly different people - David Benson the politician was from Minnesota and served in state government. The only valid corroborating source is the KMBC article linking both districts; The Gazette only mentions Cedar Rapids. High confidence 'same' is not justified with only one valid cross-district source.,True
david bradley,same,high,10,QUESTIONABLE,pass,fail,weak,pass,fail,weak,pass,pass,fail,fail,"The prediction is based on a single newspaper source (Republican Eagle) with two articles, not two independent sources. For a very common name like 'David Bradley,' this is insufficient to support high confidence that these are the same person.",True
david brax,same,high,14,PLAUSIBLE,pass,pass,pass,fail,weak,pass,pass,pass,weak,fail,"The reasoning cites an NPI (National Provider Identifier) record as Tier 2 evidence for a school superintendent. NPI records are exclusively for healthcare providers, indicating this is almost certainly a different David Brax (a doctor) being conflated with the school superintendent. This is a critical source evaluation error that undermines the claimed corroboration from multiple independent sources.",True
david carriger,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is a well-supported case with multiple independent sources including Tier 1 evidence (LinkedIn profile explicitly listing both districts, Blogger profile with career timeline) and Tier 2 sources (Kansas Legislature official recognition, district documents). The uncommon surname 'Carriger' reduces collision risk, and the timeline (2009-2017 to 2018-2024) is perfectly plausible for a superintendent career progression.",False
david damerall,same,high,8,SUSPECT,pass,pass,weak,fail,fail,pass,weak,fail,fail,fail,"The reasoning contains a fundamental contradiction: it cites evidence that David Damerall was at Bay City in 1994, but the position being evaluated is 1990-1993. Similarly, it claims 15 years at Kirkwood until 2026, but the position is 2003-2009. The evidence cited does not actually support the specific time periods being disambiguated.",True
david dude,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor timeline discrepancy: The Position 2 record shows 2022-2024, but evidence shows Dude started at Cambria-Friesland on July 1, 2021. This suggests a record date error rather than an actual discrepancy, but it's worth noting the records don't perfectly align with the documented timeline.",False
david fuller,same,high,8,SUSPECT,pass,pass,weak,fail,fail,pass,weak,fail,fail,fail,"The reasoning misreads the NJ.com evidence (which says TX → NJ, not NJ → TX), conflates Texas Virtual Academy with C O R E Academy, and uses GovSalaries data from 2017 to ""confirm"" a 2013-2016 position. No source actually verifies David C. Fuller at C O R E Academy during the stated timeframe.",True
david larson,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"Unable to verify that the provided URLs actually load and contain the claimed content about David Larson's transition from Birmingham to Glenbard. The reasoning is solid, but URL quality cannot be fully confirmed.",False
david larson,same,high,3,SUSPECT,pass,fail,weak,fail,fail,fail,fail,fail,fail,fail,"The Tier 1 evidence (Dayton Daily News) actually shows David Larson moved from Covington to Piqua City Schools, not Bennett Community School District. This directly contradicts the prediction and suggests the reasoning misinterpreted the career path. The evidence points to two different David Larsons: one who went Covington→Piqua, and another who was at Bennett.",True
david markward,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning doesn't explicitly document the 4-phase search strategy, though the evidence found suggests thorough searching. Additionally, the exact transition timeline between 2003 (Rock Island) and 2004 (Cedar Rapids) could be examined more closely for potential gaps, though this doesn't undermine the core conclusion.",False
david martin,same,high,5,SUSPECT,fail,fail,weak,pass,fail,fail,pass,fail,fail,fail,"David Martin is an extremely common name. The prediction of 'same' is based on only 1 Tier 1 source (NC position only), 1 Tier 2 source (NC only), and 1 Tier 3 source (TN only), with NO Tier 1-2 evidence connecting the two districts. The name variation ('J. David Martin' vs 'Dr. David Martin') is unverified, and the Bart Durham law firm biography is likely about a completely different person (a lawyer, not an educator). High confidence is completely unjustified.",True
david moyer,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor timeline discrepancy: Position 1 lists Burlington as 2010-2011, but sources indicate Moyer served as Burlington superintendent until 2012 when he left for Moline. This suggests the position data may be incomplete or truncated, but doesn't affect the core conclusion that the same person served at both districts.",False
david moyer,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,Minor discrepancy in district numbering: Position 2 is listed as 'Moline USD 40' while one source mentions 'Moline-Coal Valley School District 41'. This appears to be a district numbering inconsistency but does not undermine the core conclusion that the same David Moyer served at both districts.,False
david moyer,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,weak,pass,"The 6-year career gap between Elmhurst (left by 2018) and Northport (2024) is unexplained. The evidence shows a clear progression from Burlington → Moline-Coal Valley → Elmhurst, but then jumps 6 years to Northport with no documentation of what David Moyer did during that period. This gap doesn't invalidate the conclusion, but it's a notable missing piece in the career timeline.",True
david pruneau,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None significant. The disambiguation is well-supported with multiple independent Tier 1-2 sources confirming the career transition.,False
david rogers,same,high,5,SUSPECT,pass,fail,weak,fail,fail,fail,pass,fail,fail,fail,"The fundamental flaw is that ALL evidence is circumstantial (timeline plausibility, geographic proximity, name similarity) for a VERY COMMON name. None of the three sources actually confirm that the David Rogers who left Iowa in 2004 became the David Rogers who arrived in Illinois in 2005. The reasoning incorrectly treats separate name matches as identity confirmation, and the high confidence claim is unsupported by the evidence tier and corroboration requirements.",True
david smith,same,high,6,SUSPECT,pass,fail,weak,fail,fail,weak,pass,fail,fail,fail,"David Smith is an extremely common name, yet the prediction of 'same' with high confidence is based on NO direct evidence connecting the two districts. All sources are district-specific (VA-only or GA-only). The entire case rests on inferring that 'K. David Smith' in Virginia is the same as 'David Kevin Smith' in Georgia based on middle initial match, timeline plausibility, and geographic proximity. This is insufficient evidence for a common name and represents a high-risk false positive.",True
david stephens,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is a strong case with explicit Tier 1 evidence (hiring announcement that names the prior district) plus multiple corroborating sources.,False
david stout,same,high,7,SUSPECT,pass,weak,fail,fail,fail,pass,pass,fail,fail,fail,"The disambiguator treats weak circumstantial evidence (email pattern, timeline plausibility) as definitive proof of identity. Email username 'dstout' is a generic convention that could easily be used by different David Stouts. No Tier 1-2 evidence was found to confirm the same person moved between districts. This is a high-risk false positive.",True
david strudthoff,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong overall but lacks explicit documentation of the search strategy phases. While the evidence collected is comprehensive and the conclusion is well-supported, I cannot confirm that all 4 search phases were systematically attempted or that the process was correctly short-circuited. This is a documentation gap rather than an evidence gap.",False
david strudthoff,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Missing documentation of the 4-phase search strategy. While the evidence is strong, the reasoning doesn't explicitly show that district domain searches, direct connection searches, individual verification, or archive deep-dives were systematically attempted.",False
deborah wheeler,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a strong disambiguation with excellent evidence.,False
debra kaplan,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"The reasoning is overall sound with strong evidence, but there is one weak point: the 2009 board archive URL is cited to support the claim that Liliam Leis-Castillo was superintendent at West Covina in 2009-2010, but board meeting minutes would not typically contain this information. This is a minor evidentiary gap that doesn't undermine the core conclusion but represents a quality issue in supporting documentation.",False
demond means,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. This is a well-executed disambiguation with strong evidence.,False
denise herrmann,same,high,17,PLAUSIBLE,pass,pass,pass,pass,pass,pass,pass,weak,weak,weak,"The original record shows 2016-2017 at Roseville, but all evidence indicates Dr. Denise Herrmann started at Roseville around 2018. The reasoning assumes this is a Department of Education data error without providing any evidence that the 2016-2017 record actually refers to Dr. Denise Herrmann. While it's likely the same person, there is no direct evidence linking her to the 2016-2017 timeframe - this could be a different Denise Herrmann, or a data recording error for a different person entirely.",True
dennis fisher,same,high,9,SUSPECT,weak,pass,weak,fail,fail,pass,pass,weak,fail,fail,"High confidence same prediction is unsupported by evidence quality. Only one Tier 2 source exists (Park Hill retirement), with one Tier 3 source (Huntsville current). No Tier 1 sources (LinkedIn, hiring announcements, transition news) were found. No sources directly connect Dennis Fisher at Park Hill to Dennis Fisher at Huntsville. The 6-year gap (2012-2018) is speculative, filled by an unverified K12ITC article. The MarketScreener article about a corporate board appointment is irrelevant to K-12 superintendency. Confidence should be LOW, not HIGH.",True
dennis johnson,same,high,6,SUSPECT,pass,fail,fail,weak,fail,fail,pass,weak,fail,fail,"""Dennis Johnson"" is an extremely common name, yet high confidence is based on essentially one document (Oregon TSPC) that mentions a move from NY to OR. The reasoning does not verify the middle initial ""E."" at both districts, does not provide independent corroboration, and makes unsupported claims about a Franklinville position. For a common name, single-source evidence is insufficient for high confidence.",True
dennis peters,same,high,4,SUSPECT,pass,weak,fail,fail,fail,weak,fail,fail,fail,fail,"The disambiguator found evidence that Dennis Peters held each superintendent position separately, but found NO evidence connecting the two positions. High confidence 'same' prediction is based entirely on circumstantial factors (timeline, geography) rather than documented career continuity. This violates the core requirement that common names require strong cross-linking evidence, and Tier 3 evidence should never support high confidence conclusions.",True
dennis rucker,same,high,13,QUESTIONABLE,pass,pass,weak,weak,weak,pass,pass,weak,fail,weak,"The 2003 Bethalto position is not actually verified with dated evidence. The Advantage News article has no timestamp confirming it was from 2003, and the Wikipedia article only confirms 2008 North Scott while generally mentioning Illinois experience - it does not specifically confirm the 2003 Bethalto role. The prediction ""same"" with high confidence is based on circumstantial evidence that a Dennis Rucker worked at Bethalto (at some point) and a Dennis Rucker worked at North Scott in 2008 and had Illinois experience, but this doesn't definitively establish they are the same person in 2003.",True
destry brown,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is a strong disambiguation with multiple Tier 1 sources explicitly connecting the two positions.,False
devon horton,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-supported disambiguation with strong evidence.,False
dexter suggs,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns identified. The disambiguation is well-supported with multiple independent sources, including a Chicago Tribune article that explicitly connects Dexter Suggs' current Merrillville superintendent role to his previous Little Rock tenure.",False
dianne talarico,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None. This is an exemplary disambiguation with strong Tier 1 evidence.,False
diego giraldo,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a strong disambiguation with excellent evidence quality.,False
dominic mucci,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None. This is a well-supported disambiguation with strong Tier 1-2 evidence from multiple independent sources explicitly connecting both positions to the same individual.,False
donald achelpohl,same,high,18,CONFIRMED,pass,pass,pass,pass,weak,pass,pass,pass,weak,pass,"Only one Tier 1 source (the Southeast Iowa Union article) directly links the two positions, yet confidence is rated as 'high'. While the article is strong, the corroboration requirement for high confidence (2+ Tier 1-2 sources) isn't fully met. The state directory listings confirm each position independently but don't directly connect them.",True
donald andrews,same,high,17,PLAUSIBLE,pass,pass,pass,pass,pass,pass,weak,pass,pass,fail,"There is a critical temporal contradiction not addressed: Wikipedia and ABC News (2013) indicate Donald Andrews was superintendent at Randolph County Schools from 2005 and still in that role in 2013, while Position 2 at Cumberland County begins in 2013. This creates a potential overlap or timeline inconsistency that undermines the prediction.",True
donald carlisle,same,high,7,SUSPECT,pass,pass,weak,fail,fail,pass,fail,fail,fail,fail,"The reasoning fails to establish that the Donald K. Carlisle in Englewood, NJ is the same person as the Donald K. Carlisle in Long Lake, NY. Having the same full name at two different districts is NOT evidence that they are the same person - it's exactly what we would expect if they were different people. No source was found that connects these two positions (e.g., a hiring announcement saying 'coming from Englewood', a bio listing both districts, a transition article). The prediction is based on name coincidence and timeline plausibility, not actual evidence of identity.",True
donald martin,same,high,8,SUSPECT,pass,pass,weak,fail,fail,fail,pass,weak,fail,fail,"The disambiguator failed to find any evidence actually linking Donald Martin at Brownwood ISD to Donald Martin at Frazier SD. All sources are single-district confirmations that establish presence at each location separately, but provide no corroboration of identity. The name match is incomplete (Dr. Don C. Martin vs Donald Martin), and no Tier 1-2 sources (hiring announcements, career history, transition news) were found. The conclusion appears to be based on assuming a plausible career trajectory rather than demonstrating it.",True
donald wheeler,same,high,12,QUESTIONABLE,pass,weak,weak,fail,weak,pass,pass,weak,fail,pass,"The main concern is evidence quality vs. confidence level. The reasoning claims ""conclusively shows"" and assigns ""high confidence"" based primarily on Tier 2 evidence (board minutes, newsletters) and Tier 3-4 (salary records). No Tier 1 sources like LinkedIn career history, hiring announcements mentioning prior district, or transition news were found. For a high confidence ""same"" prediction, 2+ Tier 1-2 sources are required. The evidence supports a plausible connection but doesn't meet the threshold for high confidence.",True
doreen fuller,same,high,8,SUSPECT,pass,pass,weak,fail,fail,pass,weak,fail,fail,fail,"The disambiguator claims the 2009 date for Pacheco Union is a ""data recording error"" and predicts ""same"" with high confidence, but provides ZERO evidence that the CT superintendent and CA superintendent are the same person. The date mismatch is strong evidence for DIFFERENT people, not evidence of a database error. No source mentions both districts together.",True
doris hope jackson,same,high,8,SUSPECT,pass,pass,weak,fail,fail,fail,weak,pass,fail,fail,"The critical flaw is treating LocalWiki (a community-edited wiki) as definitive Tier 1 evidence that connects both districts. LocalWiki is user-generated content similar to Wikipedia and should not be treated as a primary source. The news articles only verify the Willow Run position, not the Calumet position. This means the claim that it's the same person rests primarily on a single unreliable source.",True
douglas adams,same,high,19,CONFIRMED,pass,pass,pass,weak,pass,pass,pass,pass,pass,pass,"Minor concern: The South Conway School District role (2018-2021) mentioned in the news article is not independently verified with a direct source. However, this is a gap in the career timeline, not a flaw in the core disambiguation, which is supported by the explicit news article connecting Ramapo/Suffern to Vilonia.",False
douglas domeracki,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is an exemplary disambiguation with strong Tier 1 evidence (explicit news coverage of the career transition) corroborated by multiple Tier 2 sources.,False
douglas van zyl,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor: Search strategy not documented. The reasoning should have explained which phases were attempted and why the search was short-circuited upon finding explicit transition news. This is a documentation issue, not an evidence issue.",False
duane bark,same,high,17,PLAUSIBLE,pass,pass,pass,fail,pass,pass,pass,pass,weak,pass,The Iowa court document is classified as Tier 1 evidence but there's no explanation of what this court case actually proves about Duane Bark's career. A court document about a legal proceeding is not inherently Tier 1 evidence for confirming a superintendent position. This represents a potential evidence classification error.,True
duane bennett,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning lacks documentation of the systematic search strategy (4 phases). While the obituary evidence is strong, the disambiguator should demonstrate attempting background searches, direct connection searches, and individual verification before or alongside finding the definitive source.",True
dudley hume,same,high,10,QUESTIONABLE,pass,pass,weak,fail,fail,pass,weak,pass,fail,fail,"The Cleveland County Herald article is a 2023 retrospective Other Days column, not a contemporaneous 2013 news article. This means there is NO contemporaneous documentation of Dudley Hume's transition from Webbers Falls to Woodlawn. The Oklahoman article from 2003 is irrelevant to the 2012 timeframe. High confidence is unsupported by contemporaneous evidence.",True
dwight pfennig,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The 2005 NJ Department of Education URL appears to have a date mismatch with the 2011 career transition being documented. While this doesn't invalidate the conclusion (the other 3 sources are strong), it raises questions about whether all cited evidence directly supports the specific claim.",False
earl kim,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. Minor note: The reasoning states Stamford tenure as 2016-2019, but the query specified 2016-2018. This is a trivial documentation inconsistency that does not affect the disambiguation conclusion.",False
eddie johnson,same,high,13,QUESTIONABLE,pass,pass,weak,pass,pass,fail,pass,weak,weak,fail,"The primary concern is that the obituary evidence is being treated as definitive proof that connects BOTH specific positions, when it only mentions superintendent roles in ""Mt. Pleasant, TX and England, AR"" without specifically naming Harts Bluff ISD. The connection between Mt. Pleasant and Harts Bluff ISD, while likely correct, is inferred rather than explicitly verified. Additionally, full name verification at the Arkansas district is not clearly demonstrated.",True
elie bracy,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. This is a well-documented case with multiple independent Tier 1 sources explicitly confirming the career transition. The only minor issue is that some URLs appear to be RSS aggregator pages rather than primary news sources, but the content is cited accurately and corroborated by other sources.",False
emin cavusoglu,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,"The reasoning claims to have '2+ independent Tier 1-2 sources explicitly connecting both positions' but no source actually connects both positions. The sources independently confirm Emin Cavusoglu at Lisa Academy AND independently confirm Emin Cavusoglu at Harmony, but there is no source showing these are the same person. This is a fundamental logical gap - the absence of a connecting source is being treated as evidence of connection.",True
emin cavusoglu,same,high,7,SUSPECT,pass,weak,fail,fail,fail,pass,pass,fail,fail,fail,"The reasoning fails to provide any source that actually connects the Arkansas position to the Texas position. All evidence only verifies that someone named Emin Cavusoglu existed at each location separately, with no proof they are the same person. The conclusion relies entirely on circumstantial factors (uncommon name, network similarity, timeline plausibility) which are Tier 4 evidence and should not support high confidence.",True
eric becoats,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is a well-executed disambiguation with strong Tier 1 evidence explicitly connecting both positions.,False
eric king,same,high,6,SUSPECT,pass,pass,fail,fail,fail,fail,pass,fail,fail,fail,"CRITICAL: The reasoning claims to have evidence connecting Eric King to BOTH districts, but there is ZERO evidence placing him at ESD 159 in 2006-2007. All evidence (2 Tier 1 sources, 1 Tier 2) only confirms the Muncie 2010 position. The 'Eric A. King (IL)' candidate list doesn't verify ESD 159 employment. This is a fundamental evidentiary gap - the prediction is based on one confirmed position, one unconfirmed position.",True
eric knost,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong Tier 1 evidence.,False
eric smith,same,high,3,SUSPECT,pass,fail,fail,fail,fail,fail,weak,fail,fail,fail,"This is a catastrophic failure on a VERY COMMON name. \""Eric Smith\"" is one of the most common names in America, yet the reasoning concludes \""same\"" with \""high\"" confidence based on finding someone with that name at three different districts. The fundamental logical error is assuming that finding Eric Smith at a third district (Texhoma) proves the Eric Smith at McLean ISD is the same as the Eric Smith at Wilson. This is not evidence of identity - it's evidence that multiple people named Eric Smith work as superintendents in Texas/Oklahoma. There are ZERO Tier 1 sources (no LinkedIn, no hiring announcements, no transition news) and NO explicit connections between the districts. The reasoning treats geographic proximity and timeline plausibility as definitive proof, which is a known pitfall. This is exactly the type of dangerous false positive that the audit checklist is designed to catch.",False
eric witherspoon,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,weak,None significant. The reasoning is strong and well-supported. Minor improvement would be to address the 2015-2016 gap years explicitly.,False
esperanza zendejas,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor concern: Search strategy completeness is not as explicitly documented as ideal. While the evidence is strong, the reasoning does not clearly articulate whether all 4 search phases were systematically attempted, particularly Phase 4 (archive deep-dive for records 5+ years old). However, this is a documentation weakness rather than an evidence weakness.",False
evelyn browne,same,high,9,SUSPECT,pass,pass,weak,pass,fail,pass,fail,fail,fail,fail,"The Folsom evidence comes from the WRONG school district (gscschools.org, not Folsom Borough School District), and the only Tier 1 source is the Banner County hiring announcement. Without direct Folsom district documentation, there is insufficient evidence to confirm that the Evelyn Browne at Banner County is the same person who worked at Folsom.",True
fran thoele,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,"No evidence directly connects Fran Thoele at Teutopolis (IL) to Fran Thoele at New Harmony (IN). The reasoning assumes same person because it's the same uncommon name with plausible timeline, but there's no hiring announcement, transition news, career history document, or other source showing she moved from one district to the other. This is a classic case of two independent data points being treated as a single connected career without corroborating evidence.",True
francisco duran,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"Misclassification of evidence tiers (current district bio labeled as Tier 1 when it's Tier 3) and lack of explicit documentation of the 4-phase search strategy. However, these are procedural issues that don't undermine the substantive conclusion.",False
frank alvarez,same,high,13,QUESTIONABLE,pass,pass,weak,pass,pass,pass,pass,fail,fail,fail,"Critical timeline contradiction: The reasoning claims Alvarez was at River Vale ""early in career"" before Montclair, but the 2012 Rye hiring announcement explicitly states he came to Rye FROM River Vale, meaning River Vale was immediately before Rye (2012), not early in career. This misinterpretation of the career progression undermines the entire reasoning and could indicate the 2020-2021 River Vale position is a different Frank Alvarez.",True
frank harwood,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor: Search strategy documentation does not explicitly confirm Phase 1 (district domains) or Phase 4 (archive deep-dive) were attempted, though strong Tier 1 evidence makes short-circuiting acceptable.",False
frank petruzielo,same,high,17,PLAUSIBLE,pass,pass,pass,fail,pass,pass,pass,pass,weak,pass,"The evidence is strong and the conclusion is almost certainly correct, but the reasoning misclassifies Wikipedia as Tier 1 evidence when it should be Tier 2 or Tier 3. This causes the confidence calibration to be potentially overconfident. The actual evidence (comprehensive career documentation on Wikipedia plus corroborating news articles) likely justifies high confidence, but the reasoning's tier classification framework is incorrect.",False
franzy fleck,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,"No Tier 1 evidence connects the two positions. The evidence only proves Franzy Fleck existed at East Gibson in 2010 AND someone named Franzy Fleck exists at Burbank from 2012-present, with zero documentation that they are the same person (no hiring announcement, no LinkedIn career history, no transition news, no obituary/bio mentioning both districts).",True
frederick clarke,same,high,17,PLAUSIBLE,pass,pass,weak,weak,pass,weak,pass,pass,pass,pass,"The search strategy completeness and full name verification are not fully documented. While the evidence is strong, the reasoning does not explicitly show that all 4 search phases were attempted or systematically document the tier classification of each source. Additionally, the middle name 'Charles' is confirmed at Albion but not explicitly at Manara Academy, though this is a minor concern given the consistent first+last name usage.",True
gary battles,same,high,11,QUESTIONABLE,pass,pass,weak,pass,fail,pass,pass,fail,fail,fail,"The obituary claims Gary Battles spent his ""final 10 years"" as Superintendent at ""West Nodaway Valley, MO,"" but the position record is for ""West Nodaway Co. R-I"" for only 2008-2010 (2 years). These are significant discrepancies that the reasoning ignores. No independent source was found to verify Gary Battles actually worked at West Nodaway Co. R-I specifically.",True
gary jones,same,high,4,SUSPECT,pass,fail,weak,fail,fail,fail,weak,fail,fail,fail,"For an extremely common name like 'Gary Jones', the disambiguator asserted high confidence that two superintendent positions refer to the same person based solely on career timeline plausibility. However, none of the cited sources actually link the SAME Gary Jones across districts. The evidence only proves that someone named Gary Jones held each position independently - not that it was the same person. This is a critical false connection error.",True
gary mathews,same,high,16,PLAUSIBLE,pass,pass,pass,pass,pass,pass,pass,fail,fail,pass,"The reasoning fails to address a critical discrepancy: the query specifies Rockwood R-VI in 2003, but the evidence shows Gary Mathews' tenure at Rockwood was 2001-2002. While the evidence clearly establishes that Gary Mathews worked at both districts, the year mismatch is unaddressed, making the 'same' prediction potentially incorrect if the 2003 date is accurate and represents a different superintendent.",True
gary mathews,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is an exemplary disambiguation with strong, multi-source evidence.",False
gary mathews,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The Rockwood date discrepancy (resume shows 2001-2002 vs Position 2 record shows 2003) is a minor inconsistency that should be resolved. While the resume is likely correct given corroboration from the news article, the reasoning should more explicitly address whether the position record contains an error or if there's a transitional period explanation. Additionally, the search strategy phases are not documented, making it unclear whether district-specific verification was attempted.",False
gary nightingale,same,high,6,SUSPECT,pass,pass,weak,fail,fail,fail,weak,fail,fail,fail,"The prediction 'same' with 'high confidence' is based on weak circumstantial evidence (Tier 3-4 only) with no corroborating sources linking the two positions. The reasoning treats timeline plausibility and geographic proximity as definitive proof, violating multiple evidence quality standards.",True
gary richards,same,high,6,SUSPECT,pass,fail,pass,fail,fail,fail,pass,fail,fail,fail,"The critical flaw is that NO evidence explicitly connects Gary G. Richards (Wilton CT) to Gary Richards (Dryden MI). The reasoning acknowledges a different Gary Richards in Imlay City MI (2007-2013), then cites a Times Herald article mentioning Imlay City and Dryden, but doesn't explain why this article refers to the Wilton CT Gary Richards rather than the other Michigan Gary Richards. This is a logical gap - the key evidence (Times Herald) could easily refer to the wrong Gary Richards.",True
gary schurz,same,high,5,SUSPECT,pass,pass,fail,fail,fail,fail,weak,fail,fail,fail,"No direct evidence was provided that Gary Schurz was superintendent at Potosi R-III in 2003. The reasoning claims this as fact but cites only a Missouri principal association page (about principal recognition, not superintendent positions) and makes an unsourced quote claim. The high confidence prediction is based on timeline plausibility (Tier 4 evidence) and a single 2007 Illinois salary document, with no verification of the Potosi tenure.",True
geoffrey gordon,same,high,14,PLAUSIBLE,pass,pass,weak,weak,weak,weak,pass,pass,fail,pass,"Only one Tier 1 source explicitly connects both positions, yet the reasoning claims ""2+ Tier 1 sources"" and assigns ""high confidence."" The NorthJersey.com article is the only source that actually mentions both Port Washington and Alpine. The others reference only one position or provide partial name matches. This is a significant evidence classification and corroboration issue that overstates the strength of the evidence.",True
geoffrey gordon,same,high,11,QUESTIONABLE,pass,pass,weak,pass,fail,pass,pass,fail,fail,fail,"The disambiguator claims 'overwhelming evidence' and 'clear connections' but no source explicitly states that the Geoffrey Gordon at Port Washington is the same person as the Geoffrey Gordon at Northern Valley. Each source discusses only ONE district. The connection is inferred from timeline plausibility and career progression assumptions, not from explicit documentation. This is a critical gap for a high-confidence 'same' prediction.",True
geoffrey gordon,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is an exceptionally strong disambiguation with multiple independent Tier 1 sources, including a North Jersey News article that explicitly lists Port Washington as part of Geoffrey Gordon's career history before arriving at Riverdale. The full name with middle initial is consistently verified across both positions, and the timeline (retiring from Port Washington in 2012, interim at Riverdale in 2018-2019) is logically consistent.",False
